id,loc,build_type,roof_ht_in,modal_ht_in,drift_slight,drift_moderate,drift_extensive,drift_complete,median_slight,beta_slight,median_moderate,beta_moderate,median_extensive,beta_extensive,median_complete,beta_complete
129,pre,C2H,1440,864,0.0016,0.0031,0.0079,0.02,1.38,0.73,2.64,0.75,6.82,0.92,17.28,0.97
130,pre,C3L,240,180,0.0024,0.0048,0.012,0.028,0.43,1.19,0.86,1.15,2.16,1.15,5.04,0.92
131,pre,C3M,600,450,0.0016,0.0032,0.008,0.0187,0.72,0.9,1.44,0.86,3.6,0.9,8.4,0.96
132,pre,C3H,1440,864,0.0012,0.0024,0.006,0.014,1.04,0.73,2.07,0.75,5.18,0.9,12.1,0.95
133,pre,PC1,180,135,0.0032,0.0051,0.0128,0.035,0.43,1.14,0.69,1.14,1.73,1.17,4.73,0.98
134,pre,PC2L,240,180,0.0032,0.0051,0.0128,0.035,0.58,1.14,0.92,1.1,2.31,1.1,6.3,0.93
135,pre,PC2M,600,450,0.0021,0.0034,0.0086,0.0233,0.96,0.87,1.54,0.83,3.85,0.91,10.5,1
136,pre,PC2H,1440,864,0.0016,0.0026,0.0064,0.0175,1.38,0.74,2.21,0.75,5.55,0.91,15.12,0.96
137,pre,RM1L,240,180,0.0032,0.0051,0.0128,0.035,0.58,1.2,0.92,1.17,2.31,1.17,6.3,0.94
138,pre,RM1M,600,450,0.0021,0.0034,0.0086,0.0233,0.96,0.91,1.54,0.89,3.85,0.89,10.5,0.96
139,pre,RM2L,240,180,0.0032,0.0051,0.0128,0.035,0.58,1.14,0.92,1.1,2.31,1.15,6.3,0.92
140,pre,RM2M,600,450,0.0021,0.0034,0.0086,0.0233,0.96,0.89,1.54,0.87,3.85,0.87,10.5,0.96
141,pre,RM2H,1440,864,0.0016,0.0026,0.0064,0.0175,1.38,0.75,2.21,0.75,5.55,0.84,15.12,0.94
142,pre,URML,180,135,0.0024,0.0048,0.012,0.028,0.32,1.15,0.65,1.19,1.62,1.2,3.78,1.18
143,pre,URMM,420,315,0.0016,0.0032,0.008,0.0187,0.5,0.99,1.01,0.97,2.52,0.9,5.88,0.88
144,pre,MH,120,120,0.0032,0.0064,0.0192,0.056,0.38,1.11,0.77,1.1,2.3,0.95,6.72,0.97
